timestamp,gas_value,fan_on
2025-12-10T14:30:34.212474,174,0
2025-12-10T14:30:34.713496,177,0
2025-12-10T14:30:35.214533,179,0
2025-12-10T14:30:35.715651,182,0
2025-12-10T14:30:36.218796,183,0
2025-12-10T14:30:36.720067,185,0
2025-12-10T14:30:37.221121,187,0
2025-12-10T14:30:37.722140,188,0
2025-12-10T14:30:38.223210,189,0
2025-12-10T14:30:38.724241,191,0
2025-12-10T14:30:39.225278,191,0
2025-12-10T14:30:39.726338,192,0
2025-12-10T14:30:40.227373,194,0
2025-12-10T14:30:40.728436,194,0
2025-12-10T14:30:41.232723,195,0
2025-12-10T14:30:41.733879,195,0
2025-12-10T14:30:42.235153,197,0
2025-12-10T14:30:42.736211,197,0
2025-12-10T14:30:43.237209,198,0
2025-12-10T14:30:43.738163,194,0
2025-12-10T14:30:44.239169,193,0
2025-12-10T14:30:44.740187,192,0
2025-12-10T14:30:45.241179,192,0
2025-12-10T14:30:45.742189,194,0
2025-12-10T14:30:46.246430,168,0
2025-12-10T14:30:46.747415,139,0
2025-12-10T14:30:47.248513,138,0
2025-12-10T14:30:47.749760,140,0
2025-12-10T14:30:48.250760,142,0
2025-12-10T14:30:48.751789,139,0
2025-12-10T14:30:49.252803,130,0
2025-12-10T14:30:49.753838,109,0
2025-12-10T14:30:50.254822,98,0
2025-12-10T14:30:50.755848,88,0
2025-12-10T14:30:51.260069,82,0
2025-12-10T14:30:51.761110,77,0
2025-12-10T14:30:52.262128,73,0
2025-12-10T14:30:52.763204,80,0
2025-12-10T14:30:53.264518,96,0
2025-12-10T14:30:53.765885,106,0
2025-12-10T14:30:54.267170,111,0
2025-12-10T14:30:54.768219,113,0
2025-12-10T14:30:55.269266,115,0
2025-12-10T14:30:55.770314,116,0
2025-12-10T14:30:56.275382,117,0
2025-12-10T14:30:56.776403,119,0
2025-12-10T14:30:57.277746,119,0
2025-12-10T14:30:57.779056,119,0
2025-12-10T14:30:58.280096,119,0
2025-12-10T14:30:58.781475,120,0
2025-12-10T14:30:59.282904,121,0
2025-12-10T14:30:59.784260,121,0
2025-12-10T14:31:00.285962,122,0
2025-12-10T14:31:00.787316,122,0
2025-12-10T14:31:01.288346,122,0
2025-12-10T14:31:01.789687,123,0
2025-12-10T14:31:02.291038,123,0
2025-12-10T14:31:02.792086,123,0
2025-12-10T14:31:03.293151,123,0
2025-12-10T14:31:03.794197,125,0
2025-12-10T14:31:04.295267,124,0
2025-12-10T14:31:04.796274,126,0
2025-12-10T14:31:05.297427,126,0
2025-12-10T14:31:05.798771,126,0
2025-12-10T14:31:06.300115,126,0
2025-12-10T14:31:06.804869,127,0
2025-12-10T14:31:07.305913,127,0
2025-12-10T14:31:07.806944,128,0
2025-12-10T14:31:08.308002,126,0
2025-12-10T14:31:08.809075,118,0
2025-12-10T14:31:09.310116,99,0
2025-12-10T14:31:09.811174,87,0
2025-12-10T14:31:10.312229,80,0
2025-12-10T14:31:10.813270,73,0
2025-12-10T14:31:11.314356,68,0
2025-12-10T14:31:11.815467,63,0
2025-12-10T14:31:12.316881,61,0
2025-12-10T14:31:12.818183,58,0
2025-12-10T14:31:13.319268,57,0
2025-12-10T14:31:13.820320,54,0
2025-12-10T14:31:14.321371,53,0
2025-12-10T14:31:14.822405,52,0
2025-12-10T14:31:15.323462,50,0
2025-12-10T16:10:52.117216,26,0
2025-12-10T16:10:52.619344,26,0
2025-12-10T16:10:53.120799,26,0
2025-12-10T16:10:53.626878,25,0
2025-12-10T16:10:54.127912,26,0
2025-12-10T16:10:54.629300,26,0
2025-12-10T16:10:55.130654,25,0
2025-12-10T16:10:55.631721,26,0
2025-12-10T16:10:56.133053,36,0
2025-12-10T16:10:56.634277,35,0
2025-12-10T16:10:57.135580,27,0
2025-12-10T16:10:57.636623,27,0
2025-12-10T16:10:58.137649,29,0
2025-12-10T16:10:58.640243,29,0
2025-12-10T16:10:59.141517,28,0
2025-12-10T16:10:59.642509,33,0
2025-12-10T16:11:00.143568,28,0
2025-12-10T16:11:00.644620,28,0
2025-12-10T16:11:01.145667,33,0
2025-12-10T16:11:01.646670,34,0
2025-12-10T16:11:02.147667,36,0
2025-12-10T16:11:02.648731,34,0
2025-12-10T16:11:03.149738,35,0
2025-12-10T16:11:03.652402,35,0
2025-12-10T16:11:04.153485,36,0
2025-12-10T16:11:04.654734,37,0
2025-12-10T16:11:05.155741,37,0
2025-12-10T16:11:05.656803,37,0
2025-12-10T16:11:06.157817,36,0
2025-12-10T16:11:06.658817,37,0
2025-12-10T16:11:07.159821,37,0
2025-12-10T16:11:07.660840,37,0
2025-12-10T16:11:08.161840,37,0
2025-12-10T16:11:08.666473,38,0
2025-12-10T16:11:09.167484,41,0
